Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,Region
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Home Office,United States,Central
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Corporate,United States,West
CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Consumer,United States,South
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Consumer,United States,East
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Consumer,United States,Central
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Consumer,United States,South
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Corporate,United States,Central
US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Consumer,United States,Central
CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Corporate,United States,South
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Consumer,United States,West
CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Corporate,United States,South
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Home Office,United States,Central
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Consumer,United States,South
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Consumer,United States,Central
CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,Home Office,United States,Central
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Corporate,United States,West
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Consumer,United States,Central
US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,Home Office,United States,West
CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,Home Office,United States,East
CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Consumer,United States,West
CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,Corporate,United States,Central
CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Home Office,United States,Central
CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,Consumer,United States,Central
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Consumer,United States,West
CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Consumer,United States,South
CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Home Office,United States,Central
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,Corporate,United States,East
CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Consumer,United States,Central
CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Consumer,United States,East
CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090,Consumer,United States,West
US-2015-136476,4/5/2015,4/10/2015,Standard Class,GG-14650,Corporate,United States,South
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725,Consumer,United States,East
US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180,Home Office,United States,Central
US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165,Consumer,United States,Central
US-2017-107272,11/5/2017,11/12/2017,Standard Class,TS-21610,Consumer,United States,West
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975,Home Office,United States,West
US-2017-164147,2/2/2017,2/5/2017,First Class,DW-13585,Corporate,United States,East
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885,Consumer,United States,West
CA-2016-110366,9/5/2016,9/7/2016,Second Class,JD-15895,Corporate,United States,East
CA-2017-106180,9/18/2017,9/23/2017,Standard Class,SH-19975,Corporate,United States,West
CA-2017-155376,12/22/2017,12/27/2017,Standard Class,SG-20080,Consumer,United States,Central
CA-2015-110744,9/7/2015,9/12/2015,Standard Class,HA-14920,Consumer,United States,West
CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680,Home Office,United States,East
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165,Corporate,United States,Central
CA-2016-158834,3/13/2016,3/16/2016,First Class,TW-21025,Home Office,United States,West
CA-2015-124919,5/31/2015,6/2/2015,First Class,SP-20650,Corporate,United States,West
CA-2015-118948,5/28/2015,6/3/2015,Standard Class,NK-18490,Home Office,United States,West
CA-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060,Consumer,United States,West
CA-2016-114104,11/20/2016,11/24/2016,Standard Class,NP-18670,Consumer,United States,Central
CA-2016-162733,5/11/2016,5/12/2016,First Class,TT-21070,Consumer,United States,West
CA-2015-119697,12/28/2015,12/31/2015,Second Class,EM-13960,Consumer,United States,East
CA-2016-154508,11/16/2016,11/20/2016,Standard Class,RD-19900,Consumer,United States,West
CA-2016-113817,11/7/2016,11/11/2016,Standard Class,MJ-17740,Consumer,United States,West
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Consumer,United States,Central
CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130,Consumer,United States,West
US-2014-100853,9/14/2014,9/19/2014,Standard Class,JB-15400,Corporate,United States,Central
US-2017-152366,4/21/2017,4/25/2017,Second Class,SJ-20500,Consumer,United States,Central
US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745,Consumer,United States,East
CA-2015-137225,12/15/2015,12/19/2015,Standard Class,JK-15640,Home Office,United States,East
CA-2014-166191,12/5/2014,12/9/2014,Second Class,DK-13150,Corporate,United States,Central
CA-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,Home Office,United States,South
CA-2016-105018,11/28/2016,12/2/2016,Standard Class,SK-19990,Consumer,United States,East
CA-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,Home Office,United States,West
CA-2016-157000,7/16/2016,7/22/2016,Standard Class,AM-10360,Corporate,United States,Central
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470,Home Office,United States,East
CA-2015-131457,10/31/2015,11/6/2015,Standard Class,MZ-17515,Corporate,United States,West
CA-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,Consumer,United States,East
CA-2017-107720,11/6/2017,11/13/2017,Standard Class,VM-21685,Home Office,United States,East
US-2017-124303,7/6/2017,7/13/2017,Standard Class,FH-14365,Corporate,United States,East
CA-2017-105074,6/24/2017,6/29/2017,Standard Class,MB-17305,Consumer,United States,East
CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,Consumer,United States,West
US-2017-116701,12/17/2017,12/21/2017,Second Class,LC-17140,Consumer,United States,Central
CA-2017-126382,6/3/2017,6/7/2017,Standard Class,HK-14890,Corporate,United States,South
CA-2017-108329,12/9/2017,12/14/2017,Standard Class,LE-16810,Consumer,United States,West
CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,Consumer,United States,Central
CA-2015-101007,2/9/2015,2/13/2015,Second Class,MS-17980,Corporate,United States,Central
CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775,Corporate,United States,East
CA-2016-130162,10/28/2016,11/1/2016,Standard Class,JH-15910,Consumer,United States,West
CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925,Consumer,United States,East
CA-2015-163055,8/9/2015,8/16/2015,Standard Class,DS-13180,Corporate,United States,Central
US-2015-145436,2/28/2015,3/4/2015,Standard Class,VD-21670,Consumer,United States,South
US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035,Corporate,United States,South
US-2017-100930,4/7/2017,4/12/2017,Standard Class,CS-12400,Home Office,United States,South
CA-2017-160514,11/12/2017,11/16/2017,Standard Class,DB-13120,Corporate,United States,West
CA-2016-157749,6/4/2016,6/9/2016,Second Class,KL-16645,Consumer,United States,Central
CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,Home Office,United States,Central
CA-2016-154739,12/10/2016,12/15/2016,Second Class,LH-17155,Consumer,United States,West
CA-2016-145625,9/11/2016,9/17/2016,Standard Class,KC-16540,Consumer,United States,West
CA-2016-146941,12/10/2016,12/13/2016,First Class,DL-13315,Consumer,United States,East
US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880,Corporate,United States,Central
CA-2017-163139,12/1/2017,12/3/2017,Second Class,CC-12670,Consumer,United States,East
US-2017-155299,6/8/2017,6/12/2017,Standard Class,Dl-13600,Corporate,United States,Central
US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,Corporate,United States,Central
CA-2016-125318,6/6/2016,6/13/2016,Standard Class,RC-19825,Consumer,United States,Central
CA-2015-155040,11/10/2015,11/15/2015,Standard Class,AH-10210,Consumer,United States,West
CA-2017-136826,6/16/2017,6/20/2017,Standard Class,CB-12535,Corporate,United States,South
CA-2016-111010,1/22/2016,1/28/2016,Standard Class,PG-18895,Consumer,United States,East
US-2017-145366,12/9/2017,12/13/2017,Standard Class,CA-12310,Corporate,United States,East
CA-2017-163979,12/28/2017,1/2/2018,Second Class,KH-16690,Corporate,United States,West
CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920,Consumer,United States,West
CA-2017-118136,9/16/2017,9/17/2017,First Class,BB-10990,Corporate,United States,West
CA-2017-132976,10/13/2017,10/17/2017,Standard Class,AG-10495,Corporate,United States,East
US-2015-161991,9/26/2015,9/28/2015,Second Class,SC-20725,Consumer,United States,Central
CA-2015-130890,11/2/2015,11/6/2015,Standard Class,JO-15280,Consumer,United States,West
CA-2015-130883,9/26/2015,10/2/2015,Standard Class,TB-21520,Consumer,United States,West
CA-2016-112697,12/18/2016,12/20/2016,Second Class,AH-10195,Corporate,United States,South
CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565,Home Office,United States,East
CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,Corporate,United States,West
CA-2016-142545,10/28/2016,11/3/2016,Standard Class,JD-15895,Corporate,United States,East
US-2017-152380,11/19/2017,11/23/2017,Standard Class,JH-15910,Consumer,United States,Central
CA-2015-144253,5/4/2015,5/9/2015,Second Class,AS-10225,Corporate,United States,East
CA-2014-130960,12/30/2014,1/4/2015,Standard Class,KB-16600,Corporate,United States,Central
CA-2014-111003,6/1/2014,6/6/2014,Standard Class,CR-12625,Home Office,United States,East
CA-2017-126774,4/15/2017,4/17/2017,First Class,SH-20395,Consumer,United States,South
CA-2016-142902,9/12/2016,9/14/2016,Second Class,BP-11185,Corporate,United States,West
CA-2014-120887,9/27/2014,10/3/2014,Standard Class,TS-21205,Corporate,United States,East
CA-2014-167850,8/9/2014,8/16/2014,Standard Class,AG-10525,Corporate,United States,South
CA-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860,Corporate,United States,East
CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,Home Office,United States,East
CA-2014-156601,9/19/2014,9/24/2014,Standard Class,FA-14230,Corporate,United States,West
CA-2016-162138,4/23/2016,4/27/2016,Standard Class,GK-14620,Corporate,United States,West
CA-2017-153339,11/3/2017,11/5/2017,Second Class,DJ-13510,Corporate,United States,South
US-2016-141544,8/30/2016,9/1/2016,First Class,PO-18850,Consumer,United States,East
US-2016-150147,4/25/2016,4/29/2016,Second Class,JL-15850,Consumer,United States,East
CA-2015-137946,9/1/2015,9/4/2015,Second Class,DB-13615,Consumer,United States,West
CA-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420,Corporate,United States,West
CA-2015-128167,6/22/2015,6/26/2015,Second Class,KL-16645,Consumer,United States,West
CA-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,Corporate,United States,East
US-2015-120712,12/20/2015,12/24/2015,Standard Class,CS-12130,Consumer,United States,Central
CA-2017-169901,6/15/2017,6/19/2017,Standard Class,CC-12550,Consumer,United States,West
CA-2017-134306,7/8/2017,7/12/2017,Standard Class,TD-20995,Consumer,United States,East
CA-2016-129714,9/1/2016,9/3/2016,First Class,AB-10060,Home Office,United States,East
CA-2016-138520,4/8/2016,4/13/2016,Standard Class,JL-15505,Consumer,United States,East
CA-2016-130001,4/23/2016,4/28/2016,Standard Class,HK-14890,Corporate,United States,South
CA-2017-155698,3/8/2017,3/11/2017,First Class,VB-21745,Corporate,United States,South
CA-2017-144904,9/25/2017,10/1/2017,Standard Class,KW-16435,Consumer,United States,East
CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060,Consumer,United States,West
CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905,Corporate,United States,East
CA-2017-104745,5/29/2017,6/4/2017,Standard Class,GT-14755,Consumer,United States,Central
US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,Consumer,United States,West
US-2016-134656,9/28/2016,10/1/2016,First Class,MM-18280,Corporate,United States,Central
US-2017-134481,8/27/2017,9/1/2017,Standard Class,AR-10405,Corporate,United States,East
CA-2015-130792,4/28/2015,5/5/2015,Standard Class,RA-19915,Consumer,United States,Central
CA-2016-134775,10/28/2016,10/29/2016,First Class,AS-10285,Corporate,United States,West
CA-2015-125395,6/26/2015,6/29/2015,Second Class,LA-16780,Corporate,United States,Central
US-2015-168935,11/27/2015,12/2/2015,Standard Class,DO-13435,Consumer,United States,South
CA-2015-122756,12/3/2015,12/7/2015,Standard Class,DK-13225,Corporate,United States,East
CA-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430,Consumer,United States,East
CA-2017-101798,12/11/2017,12/15/2017,Standard Class,MV-18190,Consumer,United States,East
US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115,Consumer,United States,West
US-2014-134971,6/7/2014,6/10/2014,Second Class,BP-11095,Corporate,United States,Central
CA-2017-102946,6/30/2017,7/5/2017,Standard Class,VP-21730,Home Office,United States,West
CA-2017-165603,10/17/2017,10/19/2017,Second Class,SS-20140,Corporate,United States,East
CA-2015-122259,10/31/2015,11/4/2015,Standard Class,HP-14815,Home Office,United States,Central
CA-2016-108987,9/8/2016,9/10/2016,Second Class,AG-10675,Consumer,United States,Central
CA-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185,Consumer,United States,South
CA-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650,Corporate,United States,South
CA-2017-117933,12/24/2017,12/29/2017,Standard Class,RF-19840,Consumer,United States,East
CA-2017-117457,12/8/2017,12/12/2017,Standard Class,KH-16510,Consumer,United States,West
CA-2017-142636,11/3/2017,11/7/2017,Standard Class,KC-16675,Corporate,United States,West
CA-2017-122105,6/24/2017,6/28/2017,Standard Class,CJ-12010,Consumer,United States,West
CA-2016-148796,4/14/2016,4/18/2016,Standard Class,PB-19150,Consumer,United States,West
CA-2017-154816,11/6/2017,11/10/2017,Standard Class,VB-21745,Corporate,United States,South
CA-2017-110478,3/4/2017,3/9/2017,Standard Class,SP-20860,Corporate,United States,West
CA-2014-142048,6/22/2014,6/25/2014,First Class,JE-15745,Consumer,United States,West
CA-2017-125388,10/19/2017,10/23/2017,Standard Class,MP-17965,Corporate,United States,East
CA-2017-155705,8/21/2017,8/23/2017,Second Class,NF-18385,Consumer,United States,South
CA-2017-149160,11/23/2017,11/26/2017,Second Class,JM-15265,Corporate,United States,Central
CA-2014-101476,9/12/2014,9/13/2014,First Class,SD-20485,Home Office,United States,East
CA-2017-152275,10/1/2017,10/8/2017,Standard Class,KH-16630,Corporate,United States,Central
US-2016-123750,4/15/2016,4/21/2016,Standard Class,RB-19795,Home Office,United States,South
CA-2016-127369,6/6/2016,6/7/2016,First Class,DB-13060,Consumer,United States,East
US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160,Consumer,United States,South
CA-2016-147375,6/12/2016,6/14/2016,Second Class,PO-19180,Home Office,United States,Central
CA-2017-130043,9/15/2017,9/19/2017,Standard Class,BB-11545,Corporate,United States,Central
CA-2017-157252,1/20/2017,1/23/2017,Second Class,CV-12805,Corporate,United States,East
CA-2016-115756,9/5/2016,9/7/2016,Second Class,PK-19075,Consumer,United States,Central
CA-2017-154214,3/20/2017,3/25/2017,Second Class,TB-21595,Consumer,United States,Central
CA-2016-166674,4/1/2016,4/3/2016,Second Class,RB-19360,Consumer,United States,East
CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705,Corporate,United States,East
CA-2016-100153,12/13/2016,12/17/2016,Standard Class,KH-16630,Corporate,United States,Central
US-2014-110674,2/12/2014,2/18/2014,Standard Class,SC-20095,Consumer,United States,West
US-2016-157945,9/26/2016,10/1/2016,Standard Class,NF-18385,Consumer,United States,Central
CA-2015-109638,12/15/2015,12/22/2015,Standard Class,JH-15985,Consumer,United States,West
CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040,Home Office,United States,West
US-2015-101399,1/17/2015,1/24/2015,Standard Class,JS-15940,Home Office,United States,Central
CA-2017-154907,3/31/2017,4/4/2017,Standard Class,DS-13180,Corporate,United States,Central
US-2016-100419,12/16/2016,12/20/2016,Second Class,CC-12670,Consumer,United States,Central
CA-2015-154144,12/20/2015,12/24/2015,Standard Class,MH-17785,Corporate,United States,East
CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,Consumer,United States,West
CA-2016-103891,7/12/2016,7/19/2016,Standard Class,KH-16690,Corporate,United States,West
CA-2016-152632,10/27/2016,11/2/2016,Standard Class,JE-15475,Consumer,United States,East
CA-2016-100790,6/26/2016,7/2/2016,Standard Class,JG-15805,Corporate,United States,East
CA-2014-134677,10/6/2014,10/10/2014,Standard Class,XP-21865,Consumer,United States,West
CA-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065,Consumer,United States,East
CA-2017-140963,6/10/2017,6/13/2017,First Class,MT-18070,Home Office,United States,West
CA-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830,Consumer,United States,Central
CA-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,Home Office,United States,Central
CA-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960,Consumer,United States,East
CA-2016-169166,5/9/2016,5/14/2016,Standard Class,SS-20590,Consumer,United States,West
US-2016-120929,3/18/2016,3/21/2016,Second Class,RO-19780,Consumer,United States,South
CA-2015-134782,12/27/2015,12/31/2015,Standard Class,MD-17350,Consumer,United States,South
CA-2016-126158,7/25/2016,7/31/2016,Standard Class,SC-20095,Consumer,United States,West
US-2016-105578,5/30/2016,6/4/2016,Standard Class,MY-17380,Corporate,United States,West
CA-2017-134978,11/12/2017,11/15/2017,Second Class,EB-13705,Corporate,United States,East
CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385,Consumer,United States,South
CA-2017-135307,11/26/2017,11/27/2017,First Class,LS-17245,Consumer,United States,Central
CA-2016-106341,10/20/2016,10/23/2016,First Class,LF-17185,Consumer,United States,East
CA-2017-163405,12/21/2017,12/25/2017,Standard Class,BN-11515,Consumer,United States,West
CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180,Home Office,United States,West
CA-2015-157812,3/22/2015,3/26/2015,Standard Class,DB-13210,Consumer,United States,Central
CA-2017-145142,1/23/2017,1/25/2017,First Class,MC-17605,Corporate,United States,Central
US-2016-139486,5/21/2016,5/23/2016,First Class,LH-17155,Consumer,United States,West
CA-2015-158792,12/26/2015,1/2/2016,Standard Class,BD-11605,Consumer,United States,East
CA-2017-113558,10/21/2017,10/26/2017,Standard Class,PH-18790,Home Office,United States,South
US-2015-138303,9/3/2015,9/7/2015,Standard Class,MG-18145,Consumer,United States,East
CA-2015-102848,11/7/2015,11/9/2015,Second Class,KB-16240,Corporate,United States,West
US-2017-129441,9/7/2017,9/11/2017,Standard Class,JC-15340,Consumer,United States,West
CA-2016-168753,5/29/2016,6/1/2016,Second Class,RL-19615,Consumer,United States,South
CA-2016-126613,7/10/2016,7/16/2016,Standard Class,AA-10375,Consumer,United States,West
US-2017-122637,9/3/2017,9/8/2017,Second Class,EP-13915,Consumer,United States,Central
CA-2015-147851,12/3/2015,12/8/2015,Standard Class,MP-17470,Home Office,United States,East
CA-2015-134894,12/7/2015,12/11/2015,Standard Class,DK-12985,Consumer,United States,South
CA-2014-140795,2/1/2014,2/3/2014,First Class,BD-11500,Consumer,United States,Central
CA-2016-136924,7/14/2016,7/17/2016,First Class,ES-14080,Corporate,United States,West
US-2015-120161,12/18/2015,12/23/2015,Standard Class,LM-17065,Consumer,United States,East
CA-2014-103849,5/11/2014,5/16/2014,Standard Class,PG-18895,Consumer,United States,Central
CA-2017-162929,11/19/2017,11/22/2017,First Class,AS-10135,Home Office,United States,East
CA-2015-113173,11/15/2015,11/17/2015,Second Class,DK-13225,Corporate,United States,Central
CA-2016-136406,4/15/2016,4/17/2016,Second Class,BD-11320,Consumer,United States,West
CA-2017-112774,9/11/2017,9/12/2017,First Class,RC-19960,Consumer,United States,South
CA-2017-101945,11/24/2017,11/28/2017,Standard Class,GT-14710,Consumer,United States,Central
CA-2017-100650,6/29/2017,7/3/2017,Second Class,DK-13225,Corporate,United States,West
CA-2014-155852,3/3/2014,3/7/2014,Second Class,AJ-10945,Consumer,United States,South
CA-2016-113243,6/10/2016,6/15/2016,Standard Class,OT-18730,Consumer,United States,West
CA-2017-118731,11/20/2017,11/22/2017,Second Class,LP-17080,Consumer,United States,West
CA-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775,Consumer,United States,South
CA-2015-130736,12/7/2015,12/9/2015,First Class,JF-15490,Consumer,United States,West
CA-2017-137099,12/7/2017,12/10/2017,First Class,FP-14320,Consumer,United States,West
CA-2017-156951,10/1/2017,10/8/2017,Standard Class,EB-13840,Corporate,United States,West
CA-2017-164826,12/28/2017,1/4/2018,Standard Class,JF-15415,Consumer,United States,East
CA-2016-127250,11/3/2016,11/7/2016,Standard Class,SF-20200,Consumer,United States,West
CA-2015-149713,9/18/2015,9/22/2015,Second Class,TG-21640,Consumer,United States,West
CA-2017-118640,7/20/2017,7/26/2017,Standard Class,CS-11950,Consumer,United States,Central
CA-2015-132906,9/10/2015,9/14/2015,Standard Class,CC-12145,Consumer,United States,West
CA-2017-145233,12/1/2017,12/5/2017,Standard Class,DV-13465,Consumer,United States,West
CA-2015-128139,7/3/2015,7/9/2015,Standard Class,BD-11725,Consumer,United States,South
US-2016-156986,3/20/2016,3/24/2016,Standard Class,ZC-21910,Consumer,United States,West
CA-2014-135405,1/9/2014,1/13/2014,Standard Class,MS-17830,Consumer,United States,Central
CA-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915,Consumer,United States,West
CA-2016-120180,7/14/2016,7/16/2016,First Class,TP-21130,Consumer,United States,East
US-2016-100720,7/16/2016,7/21/2016,Standard Class,CK-12205,Consumer,United States,East
CA-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240,Consumer,United States,South
US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510,Consumer,United States,East
CA-2016-161816,4/28/2016,5/1/2016,First Class,NB-18655,Corporate,United States,Central
CA-2016-121223,9/11/2016,9/13/2016,Second Class,GD-14590,Corporate,United States,East
CA-2017-138611,11/14/2017,11/17/2017,Second Class,CK-12595,Consumer,United States,East
CA-2017-117947,8/18/2017,8/23/2017,Second Class,NG-18355,Corporate,United States,East
US-2014-111171,12/26/2014,12/31/2014,Standard Class,CA-12265,Consumer,United States,Central
CA-2015-138009,11/29/2015,12/3/2015,Standard Class,SF-20965,Corporate,United States,Central
CA-2017-163020,9/15/2017,9/19/2017,Standard Class,MO-17800,Home Office,United States,East
CA-2017-153787,5/19/2017,5/23/2017,Standard Class,AT-10735,Consumer,United States,West
CA-2017-133431,12/17/2017,12/21/2017,Standard Class,LC-17140,Consumer,United States,West
US-2016-135720,12/11/2016,12/13/2016,Second Class,FM-14380,Consumer,United States,West
CA-2017-144694,9/24/2017,9/26/2017,Second Class,BD-11605,Consumer,United States,South
CA-2015-168004,10/4/2015,10/9/2015,Second Class,DJ-13420,Corporate,United States,South
US-2016-123470,8/15/2016,8/21/2016,Standard Class,ME-17725,Consumer,United States,West
CA-2016-115917,5/20/2016,5/25/2016,Standard Class,RB-19465,Home Office,United States,West
CA-2016-147067,12/18/2016,12/22/2016,Standard Class,JD-16150,Corporate,United States,Central
CA-2017-167913,7/30/2017,8/3/2017,Second Class,JL-15835,Consumer,United States,West
CA-2017-106103,6/10/2017,6/15/2017,Standard Class,SC-20305,Consumer,United States,Central
US-2017-127719,7/21/2017,7/25/2017,Standard Class,TW-21025,Home Office,United States,East
CA-2017-126221,12/30/2017,1/5/2018,Standard Class,CC-12430,Home Office,United States,Central
CA-2016-103947,4/1/2016,4/8/2016,Standard Class,BB-10990,Corporate,United States,West
CA-2016-160745,12/11/2016,12/16/2016,Second Class,AR-10825,Corporate,United States,West
CA-2016-132661,10/23/2016,10/29/2016,Standard Class,SR-20740,Home Office,United States,East
CA-2017-140844,6/19/2017,6/23/2017,Standard Class,AR-10405,Corporate,United States,East
CA-2016-137239,8/22/2016,8/28/2016,Standard Class,CR-12730,Consumer,United States,East
US-2016-156097,9/19/2016,9/19/2016,Same Day,EH-14125,Home Office,United States,Central
CA-2015-146563,8/24/2015,8/28/2015,Standard Class,CB-12025,Consumer,United States,Central
CA-2016-123666,3/26/2016,3/30/2016,Standard Class,SP-20545,Corporate,United States,East
CA-2016-143308,11/4/2016,11/4/2016,Same Day,RC-19825,Consumer,United States,South
CA-2017-132682,6/8/2017,6/10/2017,Second Class,TH-21235,Corporate,United States,Central
CA-2014-156314,12/24/2014,12/26/2014,First Class,RP-19390,Consumer,United States,East
