Order ID,Order Date,Ship Date,Customer ID
CA-2017-119004,11/23/2017,11/28/2017,JM-15250
CA-2015-129476,10/15/2015,10/20/2015,PA-19060
CA-2017-146780,12/25/2017,12/30/2017,CV-12805
CA-2016-128867,11/3/2016,11/10/2016,CL-12565
CA-2014-115259,8/25/2014,8/27/2014,RC-19960
CA-2015-110457,3/2/2015,3/6/2015,DK-13090
US-2015-136476,4/5/2015,4/10/2015,GG-14650
CA-2016-103730,6/12/2016,6/15/2016,SC-20725
US-2014-152030,12/26/2014,12/28/2014,AD-10180
US-2014-134614,9/20/2014,9/25/2014,PF-19165
US-2017-107272,11/5/2017,11/12/2017,TS-21610
US-2016-125969,11/6/2016,11/10/2016,LS-16975
US-2017-164147,2/2/2017,2/5/2017,DW-13585
CA-2016-145583,10/13/2016,10/19/2016,LC-16885
CA-2016-110366,9/5/2016,9/7/2016,JD-15895
CA-2017-106180,9/18/2017,9/23/2017,SH-19975
CA-2017-155376,12/22/2017,12/27/2017,SG-20080
CA-2015-110744,9/7/2015,9/12/2015,HA-14920
CA-2014-110072,10/22/2014,10/28/2014,MG-17680
CA-2016-114489,12/5/2016,12/9/2016,JE-16165
CA-2016-158834,3/13/2016,3/16/2016,TW-21025
CA-2015-124919,5/31/2015,6/2/2015,SP-20650
CA-2015-118948,5/28/2015,6/3/2015,NK-18490
CA-2014-104269,3/1/2014,3/6/2014,DB-13060
CA-2016-114104,11/20/2016,11/24/2016,NP-18670
CA-2016-162733,5/11/2016,5/12/2016,TT-21070
CA-2015-119697,12/28/2015,12/31/2015,EM-13960
CA-2016-154508,11/16/2016,11/20/2016,RD-19900
CA-2016-113817,11/7/2016,11/11/2016,MJ-17740
CA-2014-139892,9/8/2014,9/12/2014,BM-11140
CA-2014-118962,8/5/2014,8/9/2014,CS-12130
US-2014-100853,9/14/2014,9/19/2014,JB-15400
US-2017-152366,4/21/2017,4/25/2017,SJ-20500
US-2015-101511,11/21/2015,11/23/2015,JE-15745
CA-2015-137225,12/15/2015,12/19/2015,JK-15640
CA-2014-166191,12/5/2014,12/9/2014,DK-13150
CA-2014-158274,11/19/2014,11/24/2014,RM-19675
CA-2016-105018,11/28/2016,12/2/2016,SK-19990
CA-2014-123260,8/26/2014,8/30/2014,FM-14290
CA-2016-157000,7/16/2016,7/22/2016,AM-10360
CA-2015-102281,10/12/2015,10/14/2015,MP-17470
CA-2015-131457,10/31/2015,11/6/2015,MZ-17515
CA-2014-140004,3/21/2014,3/25/2014,CB-12025
CA-2017-107720,11/6/2017,11/13/2017,VM-21685
US-2017-124303,7/6/2017,7/13/2017,FH-14365
CA-2017-105074,6/24/2017,6/29/2017,MB-17305
CA-2014-133690,8/3/2014,8/5/2014,BS-11755
US-2017-116701,12/17/2017,12/21/2017,LC-17140
CA-2017-126382,6/3/2017,6/7/2017,HK-14890
CA-2017-108329,12/9/2017,12/14/2017,LE-16810
CA-2017-135860,12/1/2017,12/7/2017,JH-15985
CA-2015-101007,2/9/2015,2/13/2015,MS-17980
CA-2015-146262,1/2/2015,1/9/2015,VW-21775
CA-2016-130162,10/28/2016,11/1/2016,JH-15910
CA-2015-169397,12/24/2015,12/27/2015,JB-15925
CA-2015-163055,8/9/2015,8/16/2015,DS-13180
US-2015-145436,2/28/2015,3/4/2015,VD-21670
US-2014-156216,9/13/2014,9/17/2014,EA-14035
US-2017-100930,4/7/2017,4/12/2017,CS-12400
CA-2017-160514,11/12/2017,11/16/2017,DB-13120
CA-2016-157749,6/4/2016,6/9/2016,KL-16645
CA-2014-131926,6/1/2014,6/6/2014,DW-13480
CA-2016-154739,12/10/2016,12/15/2016,LH-17155
CA-2016-145625,9/11/2016,9/17/2016,KC-16540
CA-2016-146941,12/10/2016,12/13/2016,DL-13315
US-2015-159982,11/28/2015,12/4/2015,DR-12880
CA-2017-163139,12/1/2017,12/3/2017,CC-12670
US-2017-155299,6/8/2017,6/12/2017,Dl-13600
US-2014-106992,9/19/2014,9/21/2014,SB-20290
CA-2016-125318,6/6/2016,6/13/2016,RC-19825
CA-2015-155040,11/10/2015,11/15/2015,AH-10210
CA-2017-136826,6/16/2017,6/20/2017,CB-12535
CA-2016-111010,1/22/2016,1/28/2016,PG-18895
US-2017-145366,12/9/2017,12/13/2017,CA-12310
CA-2017-163979,12/28/2017,1/2/2018,KH-16690
CA-2015-155334,7/30/2015,7/31/2015,HA-14920
CA-2017-118136,9/16/2017,9/17/2017,BB-10990
CA-2017-132976,10/13/2017,10/17/2017,AG-10495
US-2015-161991,9/26/2015,9/28/2015,SC-20725
CA-2015-130890,11/2/2015,11/6/2015,JO-15280
CA-2015-130883,9/26/2015,10/2/2015,TB-21520
CA-2016-112697,12/18/2016,12/20/2016,AH-10195
CA-2016-110772,11/20/2016,11/24/2016,NZ-18565
CA-2014-111451,12/26/2014,12/28/2014,KL-16555
CA-2016-142545,10/28/2016,11/3/2016,JD-15895
US-2017-152380,11/19/2017,11/23/2017,JH-15910
CA-2015-144253,5/4/2015,5/9/2015,AS-10225
CA-2014-130960,12/30/2014,1/4/2015,KB-16600
CA-2014-111003,6/1/2014,6/6/2014,CR-12625
CA-2017-126774,4/15/2017,4/17/2017,SH-20395
CA-2016-142902,9/12/2016,9/14/2016,BP-11185
CA-2014-120887,9/27/2014,10/3/2014,TS-21205
CA-2014-167850,8/9/2014,8/16/2014,AG-10525
CA-2014-164259,12/28/2014,12/30/2014,SP-20860
CA-2014-164973,11/4/2014,11/9/2014,NM-18445
CA-2014-156601,9/19/2014,9/24/2014,FA-14230
CA-2016-162138,4/23/2016,4/27/2016,GK-14620
CA-2017-153339,11/3/2017,11/5/2017,DJ-13510
US-2016-141544,8/30/2016,9/1/2016,PO-18850
US-2016-150147,4/25/2016,4/29/2016,JL-15850
CA-2015-137946,9/1/2015,9/4/2015,DB-13615
CA-2014-129924,7/12/2014,7/17/2014,AC-10420
CA-2015-128167,6/22/2015,6/26/2015,KL-16645
CA-2014-122336,4/13/2014,4/17/2014,JD-15895
US-2015-120712,12/20/2015,12/24/2015,CS-12130
CA-2017-169901,6/15/2017,6/19/2017,CC-12550
CA-2017-134306,7/8/2017,7/12/2017,TD-20995
CA-2016-129714,9/1/2016,9/3/2016,AB-10060
CA-2016-138520,4/8/2016,4/13/2016,JL-15505
CA-2016-130001,4/23/2016,4/28/2016,HK-14890
CA-2017-155698,3/8/2017,3/11/2017,VB-21745
CA-2017-144904,9/25/2017,10/1/2017,KW-16435
CA-2014-123344,9/24/2014,9/29/2014,JD-16060
CA-2016-155516,10/21/2016,10/21/2016,MK-17905
CA-2017-104745,5/29/2017,6/4/2017,GT-14755
US-2014-119137,7/23/2014,7/27/2014,AG-10900
US-2016-134656,9/28/2016,10/1/2016,MM-18280
US-2017-134481,8/27/2017,9/1/2017,AR-10405
CA-2015-130792,4/28/2015,5/5/2015,RA-19915
CA-2016-134775,10/28/2016,10/29/2016,AS-10285
CA-2015-125395,6/26/2015,6/29/2015,LA-16780
US-2015-168935,11/27/2015,12/2/2015,DO-13435
CA-2015-122756,12/3/2015,12/7/2015,DK-13225
CA-2014-115973,11/24/2014,11/26/2014,NG-18430
CA-2017-101798,12/11/2017,12/15/2017,MV-18190
US-2014-135972,9/21/2014,9/23/2014,JG-15115
US-2014-134971,6/7/2014,6/10/2014,BP-11095
CA-2017-102946,6/30/2017,7/5/2017,VP-21730
CA-2017-165603,10/17/2017,10/19/2017,SS-20140
CA-2015-122259,10/31/2015,11/4/2015,HP-14815
CA-2016-108987,9/8/2016,9/10/2016,AG-10675
CA-2014-113166,12/24/2014,12/26/2014,LF-17185
CA-2014-155208,4/16/2014,4/20/2014,SP-20650
CA-2017-117933,12/24/2017,12/29/2017,RF-19840
CA-2017-117457,12/8/2017,12/12/2017,KH-16510
CA-2017-142636,11/3/2017,11/7/2017,KC-16675
CA-2017-122105,6/24/2017,6/28/2017,CJ-12010
CA-2016-148796,4/14/2016,4/18/2016,PB-19150
CA-2017-154816,11/6/2017,11/10/2017,VB-21745
CA-2017-110478,3/4/2017,3/9/2017,SP-20860
CA-2014-142048,6/22/2014,6/25/2014,JE-15745
CA-2017-125388,10/19/2017,10/23/2017,MP-17965
CA-2017-155705,8/21/2017,8/23/2017,NF-18385
CA-2017-149160,11/23/2017,11/26/2017,JM-15265
CA-2014-101476,9/12/2014,9/13/2014,SD-20485
CA-2017-152275,10/1/2017,10/8/2017,KH-16630
US-2016-123750,4/15/2016,4/21/2016,RB-19795
CA-2016-127369,6/6/2016,6/7/2016,DB-13060
US-2014-150574,12/19/2014,12/25/2014,MK-18160
CA-2016-147375,6/12/2016,6/14/2016,PO-19180
CA-2017-130043,9/15/2017,9/19/2017,BB-11545
CA-2017-157252,1/20/2017,1/23/2017,CV-12805
CA-2016-115756,9/5/2016,9/7/2016,PK-19075
CA-2017-154214,3/20/2017,3/25/2017,TB-21595
CA-2016-166674,4/1/2016,4/3/2016,RB-19360
CA-2017-147277,10/20/2017,10/24/2017,EB-13705
CA-2016-100153,12/13/2016,12/17/2016,KH-16630
US-2014-110674,2/12/2014,2/18/2014,SC-20095
US-2016-157945,9/26/2016,10/1/2016,NF-18385
CA-2015-109638,12/15/2015,12/22/2015,JH-15985
CA-2016-109869,4/22/2016,4/29/2016,TN-21040
US-2015-101399,1/17/2015,1/24/2015,JS-15940
CA-2017-154907,3/31/2017,4/4/2017,DS-13180
US-2016-100419,12/16/2016,12/20/2016,CC-12670
CA-2015-154144,12/20/2015,12/24/2015,MH-17785
CA-2014-144666,11/9/2014,11/11/2014,JP-15520
CA-2016-103891,7/12/2016,7/19/2016,KH-16690
CA-2016-152632,10/27/2016,11/2/2016,JE-15475
CA-2016-100790,6/26/2016,7/2/2016,JG-15805
CA-2014-134677,10/6/2014,10/10/2014,XP-21865
CA-2014-127691,7/22/2014,7/27/2014,EM-14065
CA-2017-140963,6/10/2017,6/13/2017,MT-18070
CA-2014-154627,10/29/2014,10/31/2014,SA-20830
CA-2014-133753,6/9/2014,6/13/2014,CW-11905
CA-2014-113362,9/14/2014,9/19/2014,AJ-10960
CA-2016-169166,5/9/2016,5/14/2016,SS-20590
US-2016-120929,3/18/2016,3/21/2016,RO-19780
CA-2015-134782,12/27/2015,12/31/2015,MD-17350
CA-2016-126158,7/25/2016,7/31/2016,SC-20095
US-2016-105578,5/30/2016,6/4/2016,MY-17380
CA-2017-134978,11/12/2017,11/15/2017,EB-13705
CA-2015-145352,3/16/2015,3/22/2015,CM-12385
CA-2017-135307,11/26/2017,11/27/2017,LS-17245
CA-2016-106341,10/20/2016,10/23/2016,LF-17185
CA-2017-163405,12/21/2017,12/25/2017,BN-11515
CA-2017-127432,1/22/2017,1/27/2017,AD-10180
CA-2015-157812,3/22/2015,3/26/2015,DB-13210
CA-2017-145142,1/23/2017,1/25/2017,MC-17605
US-2016-139486,5/21/2016,5/23/2016,LH-17155
CA-2015-158792,12/26/2015,1/2/2016,BD-11605
CA-2017-113558,10/21/2017,10/26/2017,PH-18790
US-2015-138303,9/3/2015,9/7/2015,MG-18145
CA-2015-102848,11/7/2015,11/9/2015,KB-16240
US-2017-129441,9/7/2017,9/11/2017,JC-15340
CA-2016-168753,5/29/2016,6/1/2016,RL-19615
CA-2016-126613,7/10/2016,7/16/2016,AA-10375
US-2017-122637,9/3/2017,9/8/2017,EP-13915
CA-2015-147851,12/3/2015,12/8/2015,MP-17470
CA-2015-134894,12/7/2015,12/11/2015,DK-12985
CA-2014-140795,2/1/2014,2/3/2014,BD-11500
CA-2016-136924,7/14/2016,7/17/2016,ES-14080
US-2015-120161,12/18/2015,12/23/2015,LM-17065
CA-2014-103849,5/11/2014,5/16/2014,PG-18895
CA-2017-162929,11/19/2017,11/22/2017,AS-10135
CA-2015-113173,11/15/2015,11/17/2015,DK-13225
CA-2016-136406,4/15/2016,4/17/2016,BD-11320
CA-2017-112774,9/11/2017,9/12/2017,RC-19960
CA-2017-101945,11/24/2017,11/28/2017,GT-14710
CA-2017-100650,6/29/2017,7/3/2017,DK-13225
CA-2014-155852,3/3/2014,3/7/2014,AJ-10945
CA-2016-113243,6/10/2016,6/15/2016,OT-18730
CA-2017-118731,11/20/2017,11/22/2017,LP-17080
CA-2014-145576,9/14/2014,9/18/2014,CA-12775
CA-2015-130736,12/7/2015,12/9/2015,JF-15490
CA-2017-137099,12/7/2017,12/10/2017,FP-14320
CA-2017-156951,10/1/2017,10/8/2017,EB-13840
CA-2017-164826,12/28/2017,1/4/2018,JF-15415
CA-2016-127250,11/3/2016,11/7/2016,SF-20200
CA-2015-149713,9/18/2015,9/22/2015,TG-21640
CA-2017-118640,7/20/2017,7/26/2017,CS-11950
CA-2015-132906,9/10/2015,9/14/2015,CC-12145
CA-2017-145233,12/1/2017,12/5/2017,DV-13465
CA-2015-128139,7/3/2015,7/9/2015,BD-11725
US-2016-156986,3/20/2016,3/24/2016,ZC-21910
CA-2014-135405,1/9/2014,1/13/2014,MS-17830
CA-2014-131450,8/8/2014,8/15/2014,LR-16915
CA-2016-120180,7/14/2016,7/16/2016,TP-21130
US-2016-100720,7/16/2016,7/21/2016,CK-12205
CA-2014-149958,3/15/2014,3/19/2014,AS-10240
US-2014-105767,5/23/2014,5/27/2014,AR-10510
CA-2016-161816,4/28/2016,5/1/2016,NB-18655
CA-2016-121223,9/11/2016,9/13/2016,GD-14590
CA-2017-138611,11/14/2017,11/17/2017,CK-12595
CA-2017-117947,8/18/2017,8/23/2017,NG-18355
US-2014-111171,12/26/2014,12/31/2014,CA-12265
CA-2015-138009,11/29/2015,12/3/2015,SF-20965
CA-2017-163020,9/15/2017,9/19/2017,MO-17800
CA-2017-153787,5/19/2017,5/23/2017,AT-10735
CA-2017-133431,12/17/2017,12/21/2017,LC-17140
US-2016-135720,12/11/2016,12/13/2016,FM-14380
CA-2017-144694,9/24/2017,9/26/2017,BD-11605
CA-2015-168004,10/4/2015,10/9/2015,DJ-13420
US-2016-123470,8/15/2016,8/21/2016,ME-17725
CA-2016-115917,5/20/2016,5/25/2016,RB-19465
CA-2016-147067,12/18/2016,12/22/2016,JD-16150
CA-2017-167913,7/30/2017,8/3/2017,JL-15835
CA-2017-106103,6/10/2017,6/15/2017,SC-20305
US-2017-127719,7/21/2017,7/25/2017,TW-21025
CA-2017-126221,12/30/2017,1/5/2018,CC-12430
CA-2016-103947,4/1/2016,4/8/2016,BB-10990
CA-2016-160745,12/11/2016,12/16/2016,AR-10825
CA-2016-132661,10/23/2016,10/29/2016,SR-20740
CA-2017-140844,6/19/2017,6/23/2017,AR-10405
CA-2016-137239,8/22/2016,8/28/2016,CR-12730
US-2016-156097,9/19/2016,9/19/2016,EH-14125
CA-2015-146563,8/24/2015,8/28/2015,CB-12025
CA-2016-123666,3/26/2016,3/30/2016,SP-20545
CA-2016-143308,11/4/2016,11/4/2016,RC-19825
CA-2017-132682,6/8/2017,6/10/2017,TH-21235
CA-2014-156314,12/24/2014,12/26/2014,RP-19390
US-2017-106663,6/9/2017,6/13/2017,MO-17800
CA-2017-111178,6/15/2017,6/22/2017,TD-20995
CA-2017-130351,12/5/2017,12/8/2017,RB-19570
US-2017-119438,3/18/2017,3/23/2017,CD-11980
CA-2016-164511,11/19/2016,11/24/2016,DJ-13630
US-2017-168116,11/4/2017,11/4/2017,GT-14635
CA-2014-157784,7/5/2014,7/8/2014,MC-17845
CA-2017-161480,12/25/2017,12/29/2017,RA-19285
US-2014-117135,6/21/2014,6/23/2014,NP-18325
CA-2015-131534,3/28/2015,4/2/2015,AB-10165
CA-2015-119291,5/14/2015,5/17/2015,JO-15550
CA-2017-114552,9/2/2017,9/8/2017,Dl-13600
CA-2016-163755,11/4/2016,11/8/2016,AS-10285
CA-2015-142027,4/9/2015,4/14/2015,JK-15370
CA-2014-138527,9/12/2014,9/17/2014,BN-11470
CA-2014-112158,12/2/2014,12/4/2014,DP-13165
CA-2014-113887,4/5/2014,4/7/2014,TH-21550
CA-2017-146136,9/3/2017,9/7/2017,AP-10915
US-2017-100048,5/19/2017,5/24/2017,RS-19765
CA-2014-153150,7/1/2014,7/6/2014,Dl-13600
CA-2014-130092,1/11/2014,1/14/2014,SV-20365
CA-2017-108910,9/24/2017,9/29/2017,KC-16540
CA-2014-104472,6/2/2014,6/7/2014,CK-12325
CA-2016-112942,2/13/2016,2/18/2016,RD-19810
CA-2016-142335,12/15/2016,12/19/2016,MP-17965
CA-2014-117429,10/7/2014,10/13/2014,MR-17545
CA-2016-114713,7/7/2016,7/12/2016,SC-20695
CA-2017-144113,9/16/2017,9/20/2017,JF-15355
US-2016-150861,12/3/2016,12/6/2016,EG-13900
CA-2017-131954,1/21/2017,1/25/2017,DS-13030
CA-2014-132500,9/8/2014,9/12/2014,GZ-14470
CA-2014-112326,1/4/2014,1/8/2014,PO-19195
US-2016-146710,8/27/2016,9/1/2016,SS-20875
CA-2014-124429,5/27/2014,5/27/2014,MH-17785
CA-2016-150889,3/20/2016,3/22/2016,PB-19105
CA-2017-126074,10/2/2017,10/6/2017,RF-19735
CA-2016-110499,4/7/2016,4/9/2016,YC-21895
CA-2015-135272,12/7/2015,12/12/2015,MS-17830
CA-2016-140928,9/18/2016,9/22/2016,NB-18655
CA-2014-106803,12/29/2014,1/2/2015,DC-13285
CA-2017-117240,7/23/2017,7/28/2017,CP-12340
CA-2017-133333,9/18/2017,9/22/2017,BF-11020
CA-2015-112319,8/31/2015,9/5/2015,AR-10510
CA-2017-126046,11/3/2017,11/7/2017,JC-16105
CA-2015-114923,2/8/2015,2/13/2015,LH-17020
CA-2014-162775,1/13/2014,1/15/2014,CS-12250
CA-2014-106810,5/14/2014,5/20/2014,AJ-10795
CA-2016-157245,5/19/2016,5/24/2016,LE-16810
CA-2017-104220,1/30/2017,2/5/2017,BV-11245
CA-2014-165974,6/29/2014,7/6/2014,DL-12865
CA-2015-144267,8/21/2015,8/23/2015,NZ-18565
US-2015-157014,10/3/2015,10/6/2015,BM-11785
CA-2015-154921,5/23/2015,5/28/2015,EA-14035
CA-2017-129567,3/17/2017,3/21/2017,CL-12565
CA-2015-154620,12/12/2015,12/16/2015,LT-17110
CA-2015-115938,6/26/2015,6/30/2015,SA-20830
CA-2016-105256,5/20/2016,5/20/2016,JK-15730
CA-2014-156433,9/20/2014,9/26/2014,ES-14020
CA-2017-151428,9/21/2017,9/26/2017,RH-19495
CA-2015-124653,12/24/2015,12/26/2015,DB-13120
CA-2015-101910,11/27/2015,12/3/2015,CD-11920
CA-2017-105809,2/20/2017,2/23/2017,HW-14935
CA-2016-136133,8/18/2016,8/23/2016,HW-14935
CA-2016-115504,3/12/2016,3/17/2016,MC-18130
CA-2017-135783,4/22/2017,4/24/2017,GM-14440
CA-2014-134313,11/1/2014,11/7/2014,RA-19915
CA-2015-140921,2/3/2015,2/5/2015,AA-10375
CA-2014-151995,10/13/2014,10/15/2014,ZC-21910
CA-2017-143686,5/14/2017,5/14/2017,PJ-19015
CA-2015-106565,3/20/2015,3/23/2015,BW-11110
CA-2016-149370,9/15/2016,9/19/2016,DB-13210
CA-2014-140858,6/28/2014,7/2/2014,CA-12775
CA-2017-101434,6/20/2017,6/27/2017,TR-21325
US-2014-102071,5/9/2014,5/15/2014,PG-18820
CA-2017-126956,8/21/2017,8/28/2017,GT-14710
CA-2017-129462,6/16/2017,6/21/2017,JE-15745
CA-2016-165316,7/23/2016,7/27/2016,JB-15400
US-2014-115987,9/8/2014,9/13/2014,LH-17020
US-2017-156083,11/4/2017,11/11/2017,JL-15175
US-2016-137547,3/7/2016,3/12/2016,EB-13705
CA-2015-100454,11/20/2015,11/25/2015,BM-11650
CA-2016-161669,11/7/2016,11/9/2016,EM-14095
CA-2015-114300,10/13/2015,10/17/2015,AF-10885
CA-2017-107503,1/1/2017,1/6/2017,GA-14725
CA-2014-107755,2/7/2014,2/12/2014,CK-12760
CA-2016-152534,6/20/2016,6/25/2016,DP-13105
CA-2016-113747,5/28/2016,6/4/2016,VD-21670
CA-2016-123274,2/19/2016,2/24/2016,GT-14710
CA-2014-125612,8/3/2014,8/8/2014,BK-11260
CA-2017-161984,4/10/2017,4/15/2017,SJ-20125
CA-2014-133851,6/9/2014,6/16/2014,CM-12445
CA-2016-134474,1/5/2016,1/7/2016,AJ-10795
CA-2014-149020,1/10/2014,1/15/2014,AJ-10780
CA-2016-134362,9/29/2016,10/2/2016,LS-16945
CA-2014-136742,4/6/2014,4/10/2014,GP-14740
CA-2016-158099,9/3/2016,9/5/2016,PK-18910
CA-2015-131128,10/19/2015,10/20/2015,TB-21520
CA-2014-148488,12/10/2014,12/15/2014,SM-20005
CA-2017-114636,8/25/2017,8/29/2017,GA-14725
CA-2016-116736,1/17/2016,1/21/2016,CC-12430
US-2014-158638,9/17/2014,9/21/2014,AG-10765
CA-2017-111689,11/30/2017,12/2/2017,HP-14815
CA-2015-129098,10/9/2015,10/13/2015,DK-13090
US-2017-123463,12/23/2017,12/23/2017,GZ-14470
CA-2016-165148,10/22/2016,10/24/2016,PM-19135
CA-2014-134061,4/29/2014,5/4/2014,LL-16840
CA-2015-143602,4/25/2015,4/28/2015,JS-15595
CA-2017-115364,6/26/2017,7/2/2017,OT-18730
CA-2017-150707,10/14/2017,10/19/2017,EL-13735
CA-2014-104976,12/9/2014,12/16/2014,CK-12760
CA-2017-132934,6/20/2017,6/26/2017,JE-15475
CA-2017-133256,6/26/2017,6/27/2017,TH-21550
CA-2016-105494,11/10/2016,11/12/2016,PC-18745
CA-2016-140634,10/3/2016,10/6/2016,HL-15040
CA-2014-144407,9/9/2014,9/15/2014,MS-17365
CA-2017-160983,10/29/2017,10/31/2017,GB-14530
US-2016-114622,4/10/2016,4/12/2016,JR-16210
CA-2017-150959,11/11/2017,11/13/2017,TD-20995
CA-2017-132353,9/15/2017,9/17/2017,DB-13060
CA-2016-130477,4/8/2016,4/12/2016,LC-17140
CA-2017-143259,12/30/2017,1/3/2018,PO-18865
CA-2017-137596,9/2/2017,9/7/2017,BE-11335
CA-2015-133627,5/31/2015,6/7/2015,SC-20050
CA-2017-102519,11/27/2017,11/29/2017,BM-11650
US-2014-141215,6/15/2014,6/21/2014,KL-16555
CA-2016-165218,3/5/2016,3/11/2016,RW-19630
CA-2014-138296,12/5/2014,12/12/2014,RC-19825
CA-2015-111164,4/11/2015,4/15/2015,SE-20110
CA-2016-149797,9/15/2016,9/20/2016,AH-10075
CA-2014-132962,9/13/2014,9/16/2014,JM-15535
CA-2015-115091,10/5/2015,10/9/2015,JJ-15760
CA-2017-144932,4/14/2017,4/17/2017,AB-10165
CA-2017-114216,9/2/2017,9/6/2017,RK-19300
CA-2016-140081,6/20/2016,6/24/2016,CG-12040
US-2017-111745,11/5/2017,11/6/2017,RA-19885
CA-2015-148250,12/13/2015,12/17/2015,RP-19270
CA-2016-105760,6/19/2016,6/20/2016,KC-16255
CA-2016-142958,12/13/2016,12/20/2016,RW-19630
CA-2015-120880,5/29/2015,6/3/2015,JL-15850
US-2015-140200,7/26/2015,7/28/2015,CA-12775
US-2017-110576,11/28/2017,12/2/2017,RB-19795
CA-2017-131156,4/3/2017,4/7/2017,KH-16360
CA-2017-136539,12/28/2017,1/1/2018,GH-14665
CA-2017-119305,11/30/2017,12/4/2017,SW-20275
CA-2017-102414,5/15/2017,5/18/2017,JA-15970
CA-2015-112571,9/22/2015,9/22/2015,DL-12925
CA-2017-152142,11/14/2017,11/19/2017,LW-16990
CA-2015-160059,11/27/2015,12/1/2015,TB-21190
CA-2016-120859,9/1/2016,9/4/2016,CV-12805
CA-2014-127488,9/22/2014,9/24/2014,MS-17365
CA-2017-135279,4/9/2017,4/11/2017,BS-11800
CA-2014-115791,1/16/2014,1/18/2014,DL-13315
US-2017-103247,10/5/2017,10/8/2017,PO-19195
US-2017-100209,7/9/2017,7/15/2017,TD-20995
CA-2017-159366,1/7/2017,1/10/2017,BW-11110
CA-2016-145499,5/30/2016,5/31/2016,RW-19690
CA-2015-157035,12/9/2015,12/12/2015,KB-16600
CA-2016-144939,10/3/2016,10/8/2016,EB-13870
CA-2014-163419,11/11/2014,11/14/2014,TZ-21580
CA-2017-100314,9/29/2017,10/5/2017,AS-10630
CA-2015-146829,3/10/2015,3/10/2015,TS-21340
CA-2017-167899,5/21/2017,5/26/2017,JG-15805
CA-2015-153549,3/29/2015,3/31/2015,SL-20155
CA-2016-110023,9/9/2016,9/11/2016,TS-21610
CA-2016-105585,8/26/2016,8/27/2016,RF-19735
CA-2014-117639,5/21/2014,5/25/2014,MW-18235
CA-2015-162537,10/28/2015,11/3/2015,RD-19585
CA-2016-155488,11/13/2016,11/17/2016,FM-14290
CA-2015-124891,7/31/2015,7/31/2015,RH-19495
CA-2015-126445,8/27/2015,8/31/2015,RA-19945
CA-2015-111199,11/13/2015,11/17/2015,JK-15730
