Order ID,Product ID,Customer ID,Ship Mode,Sales,Quantity,Discount,Profit
US-2015-150630,OFF-AR-10001683,TB-21520,Standard Class,15.76,2,0.2,3.546
CA-2017-107727,OFF-PA-10000249,MA-17560,Second Class,29.472,3,0.2,9.9468
CA-2016-117590,TEC-PH-10004977,GH-14485,First Class,1097.544,7,0.2,123.4737
CA-2016-117590,FUR-FU-10003664,GH-14485,First Class,190.92,5,0.6,-147.963
CA-2015-117415,OFF-EN-10002986,SN-20710,Standard Class,113.328,9,0.2,35.415
CA-2015-117415,FUR-BO-10002545,SN-20710,Standard Class,532.3992,3,0.32,-46.9764
CA-2015-117415,FUR-CH-10004218,SN-20710,Standard Class,212.058,3,0.3,-15.147
CA-2015-117415,TEC-PH-10000486,SN-20710,Standard Class,371.168,4,0.2,41.7564
CA-2017-120999,TEC-PH-10004093,LC-16930,Standard Class,147.168,4,0.2,16.5564
CA-2016-101343,OFF-ST-10003479,RA-19885,Standard Class,77.88,2,0.0,3.894
CA-2017-139619,OFF-ST-10003282,ES-14080,Standard Class,95.616,2,0.2,9.5616
CA-2016-118255,TEC-AC-10000171,ON-18715,First Class,45.98,2,0.0,19.7714
CA-2016-118255,OFF-BI-10003291,ON-18715,First Class,17.46,2,0.0,8.2062
CA-2014-146703,OFF-ST-10001713,PO-18865,Second Class,211.96,4,0.0,8.4784
CA-2016-169194,TEC-AC-10002167,LH-16900,Standard Class,45.0,3,0.0,4.95
CA-2016-169194,TEC-PH-10003988,LH-16900,Standard Class,21.8,2,0.0,6.104
CA-2015-115742,OFF-BI-10004410,DP-13000,Standard Class,38.22,6,0.0,17.9634
CA-2015-115742,OFF-LA-10002762,DP-13000,Standard Class,75.18,6,0.0,35.3346
CA-2015-115742,FUR-FU-10001706,DP-13000,Standard Class,6.16,2,0.0,2.9568
CA-2015-115742,FUR-CH-10003061,DP-13000,Standard Class,89.99,1,0.0,17.0981
CA-2016-105816,OFF-FA-10000304,JM-15265,Standard Class,15.26,7,0.0,6.2566
CA-2016-105816,TEC-PH-10002447,JM-15265,Standard Class,1029.95,5,0.0,298.6855
CA-2016-111682,OFF-ST-10000604,TB-21055,First Class,208.56,6,0.0,52.14
CA-2016-111682,OFF-PA-10001569,TB-21055,First Class,32.4,5,0.0,15.552
CA-2016-111682,FUR-CH-10003968,TB-21055,First Class,319.41,5,0.1,7.098
CA-2016-111682,OFF-PA-10000587,TB-21055,First Class,14.56,2,0.0,6.9888
CA-2016-111682,TEC-AC-10002167,TB-21055,First Class,30.0,2,0.0,3.3
CA-2016-111682,OFF-BI-10001460,TB-21055,First Class,48.48,4,0.2,16.362
CA-2016-111682,OFF-AR-10001868,TB-21055,First Class,1.68,1,0.0,0.84
CA-2015-135545,TEC-AC-10004633,KM-16720,Standard Class,13.98,2,0.0,6.1512
CA-2015-135545,OFF-BI-10001078,KM-16720,Standard Class,25.824,6,0.2,9.3612
CA-2015-135545,OFF-PA-10003892,KM-16720,Standard Class,146.73,3,0.0,68.9631
CA-2015-135545,FUR-FU-10000397,KM-16720,Standard Class,79.76,4,0.0,22.3328
US-2015-164175,FUR-CH-10001146,PS-18970,Standard Class,213.115,5,0.3,-15.2225
CA-2014-106376,OFF-AR-10002671,BS-11590,Standard Class,1113.024,8,0.2,111.3024
CA-2014-106376,TEC-PH-10002726,BS-11590,Standard Class,167.968,4,0.2,62.988
CA-2016-119823,OFF-PA-10000482,KD-16270,First Class,75.88,2,0.0,35.6636
CA-2016-106075,OFF-BI-10004654,HM-14980,Standard Class,4.616,1,0.2,1.731
CA-2017-114440,OFF-PA-10004675,TB-21520,Second Class,19.05,3,0.0,8.763
US-2015-134026,FUR-CH-10000513,JE-15745,Standard Class,831.936,8,0.2,-114.3912
US-2015-134026,FUR-FU-10003708,JE-15745,Standard Class,97.04,2,0.2,1.213
US-2015-134026,OFF-ST-10004123,JE-15745,Standard Class,72.784,1,0.2,-18.196
US-2017-118038,OFF-BI-10004182,KB-16600,First Class,1.248,3,0.8,-1.9344
US-2017-118038,FUR-FU-10000260,KB-16600,First Class,9.708,3,0.6,-5.8248
US-2017-118038,OFF-ST-10000615,KB-16600,First Class,27.24,3,0.2,2.724
US-2014-147606,FUR-FU-10003194,JE-15745,Second Class,19.3,5,0.6,-14.475
CA-2016-127208,OFF-AP-10002118,SC-20770,First Class,208.16,1,0.0,56.2032
CA-2016-127208,OFF-BI-10002309,SC-20770,First Class,16.74,3,0.0,8.0352
CA-2014-139451,OFF-AR-10002053,DN-13690,Standard Class,14.9,5,0.0,4.172
CA-2014-139451,OFF-ST-10002370,DN-13690,Standard Class,21.39,1,0.0,6.2031
CA-2015-149734,OFF-EN-10000927,JC-16105,Standard Class,200.984,7,0.2,62.8075
US-2017-119662,OFF-ST-10003656,CS-12400,First Class,230.376,3,0.2,-48.9549
CA-2017-140088,FUR-CH-10000863,PO-18865,Second Class,301.96,2,0.0,33.2156
CA-2017-155558,TEC-AC-10001998,PG-18895,Standard Class,19.99,1,0.0,6.7966
CA-2017-155558,OFF-LA-10000134,PG-18895,Standard Class,6.16,2,0.0,2.9568
CA-2016-159695,OFF-ST-10003442,GM-14455,Second Class,158.368,7,0.2,13.8572
CA-2016-109806,OFF-AR-10004930,JS-15685,Standard Class,20.1,3,0.0,6.633
CA-2016-109806,TEC-PH-10004093,JS-15685,Standard Class,73.584,2,0.2,8.2782
CA-2016-109806,OFF-PA-10000304,JS-15685,Standard Class,6.48,1,0.0,3.1104
CA-2015-149587,OFF-PA-10003177,KB-16315,Second Class,12.96,2,0.0,6.2208
CA-2015-149587,FUR-FU-10003799,KB-16315,Second Class,53.34,3,0.0,16.5354
CA-2015-149587,OFF-BI-10002852,KB-16315,Second Class,32.96,2,0.0,16.1504
US-2017-109484,OFF-BI-10004738,RB-19705,Standard Class,5.682,1,0.7,-3.788
CA-2017-161018,FUR-FU-10000629,PN-18775,Second Class,96.53,7,0.0,40.5426
CA-2017-157833,OFF-BI-10001721,KD-16345,First Class,51.312,3,0.2,17.9592
CA-2016-149223,OFF-AP-10000358,ER-13855,Standard Class,77.88,6,0.0,22.5852
CA-2016-158568,OFF-PA-10003256,RB-19465,Standard Class,64.624,7,0.2,22.6184
CA-2016-158568,TEC-AC-10001767,RB-19465,Standard Class,95.976,3,0.2,-10.7973
CA-2016-158568,OFF-BI-10002609,RB-19465,Standard Class,1.788,3,0.8,-3.0396
CA-2016-129903,OFF-PA-10004040,GZ-14470,Second Class,23.92,4,0.0,11.7208
US-2015-156867,TEC-AC-10001552,LC-16870,Standard Class,238.896,6,0.2,-26.8758
US-2015-156867,FUR-FU-10004006,LC-16870,Standard Class,102.36,3,0.2,-3.8385
US-2015-156867,OFF-BI-10002794,LC-16870,Standard Class,36.882,3,0.7,-25.8174
CA-2017-119004,TEC-AC-10003499,JM-15250,Standard Class,74.112,8,0.2,17.6016
CA-2017-119004,TEC-PH-10002844,JM-15250,Standard Class,27.992,1,0.2,2.0994
CA-2017-119004,OFF-AR-10000390,JM-15250,Standard Class,3.304,1,0.2,1.0738
CA-2015-129476,TEC-AC-10000844,PA-19060,Standard Class,339.96,5,0.2,67.992
CA-2017-146780,FUR-FU-10001934,CV-12805,Standard Class,41.96,2,0.0,10.9096
CA-2016-128867,OFF-AR-10000380,CL-12565,Standard Class,75.96,2,0.0,22.788
CA-2016-128867,OFF-BI-10003981,CL-12565,Standard Class,27.24,6,0.0,13.3476
CA-2014-115259,OFF-FA-10000621,RC-19960,Second Class,40.096,14,0.2,14.5348
CA-2014-115259,OFF-EN-10002600,RC-19960,Second Class,4.72,2,0.2,1.652
CA-2014-115259,OFF-PA-10004965,RC-19960,Second Class,23.976,3,0.2,7.4925
CA-2014-115259,OFF-EN-10002504,RC-19960,Second Class,130.464,6,0.2,44.0316
CA-2015-110457,FUR-TA-10001768,DK-13090,Standard Class,787.53,3,0.0,165.3813
US-2015-136476,OFF-BI-10003650,GG-14650,Standard Class,157.794,1,0.7,-115.7156
CA-2016-103730,FUR-FU-10002157,SC-20725,First Class,47.04,3,0.0,18.3456
CA-2016-103730,OFF-BI-10003910,SC-20725,First Class,30.84,4,0.0,13.878
CA-2016-103730,OFF-ST-10000777,SC-20725,First Class,226.56,6,0.0,63.4368
CA-2016-103730,OFF-EN-10002500,SC-20725,First Class,115.02,9,0.0,51.759
CA-2016-103730,TEC-PH-10003875,SC-20725,First Class,68.04,7,0.0,19.7316
US-2014-152030,FUR-CH-10004063,AD-10180,Second Class,600.558,3,0.3,-8.5794
US-2014-134614,FUR-TA-10004534,PF-19165,Standard Class,617.7,6,0.5,-407.682
US-2017-107272,OFF-BI-10003274,TS-21610,Standard Class,2.388,2,0.7,-1.8308
US-2017-107272,OFF-ST-10002974,TS-21610,Standard Class,243.992,7,0.2,30.499
US-2016-125969,FUR-CH-10001146,LS-16975,Second Class,81.424,2,0.2,-9.1602
US-2016-125969,FUR-FU-10003773,LS-16975,Second Class,238.56,3,0.0,26.2416
US-2017-164147,TEC-PH-10002293,DW-13585,First Class,59.97,5,0.4,-11.994
US-2017-164147,OFF-PA-10002377,DW-13585,First Class,78.304,2,0.2,29.364
US-2017-164147,OFF-FA-10002780,DW-13585,First Class,21.456,9,0.2,6.9732
CA-2016-145583,OFF-PA-10001804,LC-16885,Standard Class,20.04,3,0.0,9.6192
CA-2016-145583,OFF-PA-10001736,LC-16885,Standard Class,35.44,1,0.0,16.6568
CA-2016-145583,OFF-AR-10001149,LC-16885,Standard Class,11.52,4,0.0,3.456
CA-2016-145583,OFF-FA-10002988,LC-16885,Standard Class,4.02,2,0.0,1.9698
CA-2016-145583,OFF-BI-10004781,LC-16885,Standard Class,76.176,3,0.2,26.6616
CA-2016-145583,OFF-SU-10001218,LC-16885,Standard Class,65.88,6,0.0,18.4464
CA-2016-145583,FUR-FU-10001706,LC-16885,Standard Class,43.12,14,0.0,20.6976
CA-2016-110366,FUR-FU-10004848,JD-15895,Second Class,82.8,2,0.2,10.35
CA-2017-106180,OFF-AR-10000940,SH-19975,Standard Class,8.82,3,0.0,2.3814
CA-2017-106180,OFF-EN-10004030,SH-19975,Standard Class,10.86,3,0.0,5.1042
CA-2017-106180,OFF-PA-10004327,SH-19975,Standard Class,143.7,3,0.0,68.976
CA-2017-155376,OFF-AP-10001058,SG-20080,Standard Class,839.43,3,0.0,218.2518
CA-2015-110744,OFF-ST-10003656,HA-14920,Standard Class,671.93,7,0.0,20.1579
CA-2014-110072,FUR-FU-10000521,MG-17680,Standard Class,93.888,4,0.2,12.9096
CA-2016-114489,TEC-PH-10000215,JE-16165,Standard Class,384.45,11,0.0,103.8015
CA-2016-114489,TEC-PH-10001448,JE-16165,Standard Class,149.97,3,0.0,5.9988
CA-2016-114489,FUR-CH-10000454,JE-16165,Standard Class,1951.84,8,0.0,585.552
CA-2016-114489,OFF-BI-10002735,JE-16165,Standard Class,171.55,5,0.0,80.6285
CA-2016-158834,OFF-AP-10000326,TW-21025,First Class,157.92,5,0.2,17.766
CA-2016-158834,TEC-PH-10001254,TW-21025,First Class,203.184,2,0.2,15.2388
CA-2015-124919,OFF-PA-10001950,SP-20650,First Class,58.38,7,0.0,26.271
CA-2015-124919,OFF-PA-10002254,SP-20650,First Class,105.52,4,0.0,48.5392
CA-2015-124919,OFF-ST-10001590,SP-20650,First Class,80.88,6,0.0,21.0288
CA-2015-118948,OFF-AR-10001547,NK-18490,Standard Class,6.63,3,0.0,1.7901
CA-2014-104269,FUR-CH-10004063,DB-13060,Second Class,457.568,2,0.2,51.4764
CA-2016-114104,OFF-LA-10002475,NP-18670,Standard Class,14.62,2,0.0,6.8714
CA-2016-114104,TEC-PH-10004536,NP-18670,Standard Class,944.93,7,0.0,236.2325
CA-2016-162733,OFF-PA-10002751,TT-21070,First Class,5.98,1,0.0,2.691
CA-2015-119697,TEC-AC-10003657,EM-13960,Second Class,54.384,2,0.2,1.3596
CA-2016-154508,OFF-EN-10001990,RD-19900,Standard Class,28.4,5,0.0,13.348
CA-2016-113817,OFF-BI-10004002,MJ-17740,Standard Class,27.68,2,0.2,9.688
CA-2014-139892,OFF-AR-10004441,BM-11140,Standard Class,9.936,3,0.2,2.7324
CA-2014-139892,TEC-MA-10000822,BM-11140,Standard Class,8159.952,8,0.4,-1359.992
CA-2014-139892,OFF-ST-10000991,BM-11140,Standard Class,275.928,3,0.2,-58.6347
CA-2014-139892,FUR-CH-10004287,BM-11140,Standard Class,1740.06,9,0.3,-24.858
CA-2014-139892,OFF-AR-10002656,BM-11140,Standard Class,32.064,6,0.2,6.8136
CA-2014-139892,OFF-AP-10002518,BM-11140,Standard Class,177.98,5,0.8,-453.849
CA-2014-139892,TEC-PH-10003931,BM-11140,Standard Class,143.976,3,0.2,8.9985
CA-2014-118962,OFF-PA-10000659,CS-12130,Standard Class,20.94,3,0.0,9.8418
CA-2014-118962,OFF-PA-10001144,CS-12130,Standard Class,110.96,2,0.0,53.2608
CA-2014-118962,FUR-CH-10003817,CS-12130,Standard Class,340.144,7,0.2,21.259
US-2014-100853,OFF-AP-10000891,JB-15400,Standard Class,52.448,2,0.8,-131.12
US-2014-100853,OFF-LA-10003148,JB-15400,Standard Class,20.16,4,0.2,6.552
US-2017-152366,OFF-AP-10002684,SJ-20500,Second Class,97.264,4,0.8,-243.16
US-2015-101511,FUR-CH-10004698,JE-15745,Second Class,396.802,7,0.3,-11.3372
US-2015-101511,OFF-SU-10002189,JE-15745,Second Class,15.88,5,0.2,-3.7715
CA-2015-137225,OFF-AR-10001940,JK-15640,Standard Class,3.28,1,0.0,1.4104
CA-2014-166191,OFF-ST-10003455,DK-13150,Second Class,24.816,2,0.2,1.8612
CA-2014-166191,TEC-AC-10004659,DK-13150,Second Class,408.744,7,0.2,76.6395
CA-2014-158274,TEC-PH-10003273,RM-19675,Second Class,503.96,4,0.0,131.0296
CA-2014-158274,TEC-PH-10004896,RM-19675,Second Class,149.95,5,0.0,41.986
CA-2014-158274,TEC-AC-10002345,RM-19675,Second Class,29.0,2,0.0,7.25
CA-2016-105018,OFF-BI-10001890,SK-19990,Standard Class,7.16,2,0.0,3.4368
CA-2014-123260,TEC-AC-10002323,FM-14290,Standard Class,176.8,8,0.0,22.984
CA-2016-157000,OFF-ST-10001328,AM-10360,Standard Class,37.224,3,0.2,3.7224
CA-2016-157000,OFF-PA-10001950,AM-10360,Standard Class,20.016,3,0.2,6.255
CA-2015-102281,FUR-BO-10002613,MP-17470,First Class,899.136,4,0.2,112.392
CA-2015-102281,TEC-PH-10001552,MP-17470,First Class,71.76,6,0.0,20.0928
CA-2015-102281,OFF-PA-10000061,MP-17470,First Class,51.84,8,0.0,24.8832
CA-2015-102281,FUR-BO-10002545,MP-17470,First Class,626.352,3,0.2,46.9764
CA-2015-102281,OFF-AR-10003514,MP-17470,First Class,19.9,5,0.0,6.567
CA-2015-131457,OFF-EN-10001509,MZ-17515,Standard Class,14.28,7,0.0,6.7116
CA-2014-140004,OFF-AR-10004685,CB-12025,Standard Class,7.408,2,0.2,1.2038
CA-2014-140004,OFF-AR-10004027,CB-12025,Standard Class,6.048,3,0.2,1.5876
CA-2017-107720,OFF-ST-10001414,VM-21685,Standard Class,46.26,3,0.0,12.0276
US-2017-124303,OFF-BI-10000343,FH-14365,Standard Class,2.946,2,0.7,-2.2586
US-2017-124303,OFF-PA-10002749,FH-14365,Standard Class,16.056,3,0.2,5.8203
CA-2017-105074,OFF-PA-10002666,MB-17305,Standard Class,21.744,3,0.2,6.795
CA-2014-133690,FUR-TA-10004289,BS-11755,First Class,218.75,2,0.5,-161.875
CA-2014-133690,OFF-AP-10003622,BS-11755,First Class,2.6,1,0.2,0.2925
US-2017-116701,OFF-AP-10003217,LC-17140,Second Class,66.284,2,0.8,-178.9668
CA-2017-126382,FUR-FU-10002960,HK-14890,Standard Class,35.168,7,0.2,9.6712
CA-2017-108329,TEC-PH-10001918,LE-16810,Standard Class,444.768,4,0.2,44.4768
CA-2017-135860,OFF-ST-10000642,JH-15985,Standard Class,83.92,4,0.0,5.8744
CA-2017-135860,TEC-PH-10001700,JH-15985,Standard Class,131.98,2,0.0,35.6346
CA-2017-135860,OFF-BI-10003274,JH-15985,Standard Class,15.92,4,0.0,7.4824
CA-2017-135860,OFF-FA-10000134,JH-15985,Standard Class,52.29,9,0.0,16.2099
CA-2017-135860,OFF-ST-10001522,JH-15985,Standard Class,91.99,1,0.0,3.6796
CA-2015-101007,TEC-AC-10001266,MS-17980,Second Class,20.8,2,0.2,6.5
CA-2015-146262,OFF-LA-10004544,VW-21775,Standard Class,23.68,2,0.2,8.88
CA-2015-146262,FUR-BO-10004695,VW-21775,Standard Class,452.45,5,0.5,-244.323
CA-2015-146262,TEC-PH-10002844,VW-21775,Standard Class,62.982,3,0.4,-14.6958
CA-2015-146262,TEC-MA-10000864,VW-21775,Standard Class,1188.0,9,0.7,-950.4
CA-2015-146262,TEC-AC-10000109,VW-21775,Standard Class,89.584,2,0.2,4.4792
CA-2016-130162,OFF-ST-10001328,JH-15910,Standard Class,93.06,6,0.0,26.0568
CA-2016-130162,TEC-PH-10002563,JH-15910,Standard Class,302.376,3,0.2,22.6782
CA-2015-169397,OFF-FA-10000585,JB-15925,First Class,5.584,2,0.2,1.8148
CA-2015-169397,OFF-PA-10004000,JB-15925,First Class,22.704,6,0.2,8.2302
CA-2015-169397,OFF-BI-10002852,JB-15925,First Class,19.776,4,0.7,-13.8432
CA-2015-169397,FUR-FU-10000087,JB-15925,First Class,72.704,4,0.2,19.0848
CA-2015-169397,TEC-MA-10001148,JB-15925,First Class,479.988,4,0.7,-383.9904
CA-2015-169397,OFF-AR-10001958,JB-15925,First Class,27.168,2,0.2,2.7168
CA-2015-163055,OFF-AR-10001026,DS-13180,Standard Class,2.2,1,0.0,0.968
CA-2015-163055,FUR-TA-10003748,DS-13180,Standard Class,622.45,5,0.0,136.939
CA-2015-163055,OFF-ST-10002485,DS-13180,Standard Class,21.98,1,0.0,0.2198
US-2015-145436,FUR-CH-10004860,VD-21670,Standard Class,161.568,2,0.2,-28.2744
US-2015-145436,FUR-CH-10004477,VD-21670,Standard Class,389.696,8,0.2,43.8408
US-2014-156216,OFF-BI-10001679,EA-14035,Standard Class,18.648,7,0.7,-12.432
US-2017-100930,FUR-TA-10001705,CS-12400,Standard Class,233.86,2,0.45,-102.048
US-2017-100930,FUR-TA-10003473,CS-12400,Standard Class,620.6145,3,0.45,-248.2458
US-2017-100930,OFF-BI-10001679,CS-12400,Standard Class,5.328,2,0.7,-3.552
US-2017-100930,FUR-FU-10004017,CS-12400,Standard Class,258.072,3,0.2,0.0
US-2017-100930,TEC-AC-10003832,CS-12400,Standard Class,617.976,3,0.2,-7.7247
CA-2017-160514,OFF-PA-10002479,DB-13120,Standard Class,10.56,2,0.0,4.752
CA-2016-157749,OFF-PA-10003349,KL-16645,Second Class,25.92,5,0.2,9.396
CA-2016-157749,FUR-FU-10000576,KL-16645,Second Class,419.68,5,0.6,-356.728
CA-2016-157749,FUR-FU-10004351,KL-16645,Second Class,11.688,3,0.6,-4.6752
CA-2016-157749,TEC-PH-10000011,KL-16645,Second Class,31.984,2,0.2,11.1944
CA-2016-157749,FUR-TA-10002607,KL-16645,Second Class,177.225,5,0.5,-120.513
CA-2016-157749,FUR-FU-10002505,KL-16645,Second Class,4.044,3,0.6,-2.8308
CA-2016-157749,OFF-AR-10004685,KL-16645,Second Class,7.408,2,0.2,1.2038
CA-2014-131926,FUR-CH-10004063,DW-13480,Second Class,2001.86,7,0.0,580.5394
CA-2014-131926,OFF-ST-10002276,DW-13480,Second Class,166.72,2,0.0,41.68
CA-2014-131926,OFF-PA-10004082,DW-13480,Second Class,47.88,6,0.0,23.94
CA-2014-131926,OFF-AP-10002945,DW-13480,Second Class,1503.25,5,0.0,496.0725
CA-2014-131926,OFF-PA-10000061,DW-13480,Second Class,25.92,4,0.0,12.4416
CA-2016-154739,FUR-CH-10002965,LH-17155,Second Class,321.568,2,0.2,28.1372
CA-2016-145625,OFF-PA-10004569,KC-16540,Standard Class,7.61,1,0.0,3.5767
CA-2016-145625,TEC-AC-10003832,KC-16540,Standard Class,3347.37,13,0.0,636.0003
CA-2016-146941,OFF-ST-10001228,DL-13315,First Class,80.58,6,0.0,22.5624
CA-2016-146941,OFF-EN-10003296,DL-13315,First Class,361.92,4,0.0,162.864
US-2015-159982,FUR-FU-10002505,DR-12880,Standard Class,12.132,9,0.6,-8.4924
US-2015-159982,OFF-ST-10004804,DR-12880,Standard Class,82.368,2,0.2,-19.5624
US-2015-159982,OFF-ST-10001590,DR-12880,Standard Class,53.92,5,0.2,4.044
US-2015-159982,TEC-PH-10001580,DR-12880,Standard Class,647.904,6,0.2,56.6916
CA-2017-163139,TEC-AC-10000290,CC-12670,Second Class,20.37,3,0.0,6.9258
CA-2017-163139,OFF-ST-10002790,CC-12670,Second Class,221.55,3,0.0,6.6465
CA-2017-163139,OFF-BI-10003460,CC-12670,Second Class,17.52,5,0.2,6.132
US-2017-155299,OFF-AP-10002203,Dl-13600,Standard Class,1.624,2,0.8,-4.466
US-2014-106992,TEC-MA-10000822,SB-20290,Second Class,3059.982,3,0.4,-509.997
US-2014-106992,TEC-MA-10003353,SB-20290,Second Class,2519.958,7,0.4,-251.9958
CA-2016-125318,TEC-PH-10001433,RC-19825,Standard Class,328.224,4,0.2,28.7196
CA-2015-155040,TEC-AC-10004469,AH-10210,Standard Class,79.9,2,0.0,35.156
CA-2017-136826,OFF-AR-10003602,CB-12535,Standard Class,14.016,3,0.2,4.7304
CA-2016-111010,OFF-FA-10003472,PG-18895,Standard Class,7.56,6,0.0,0.3024
US-2017-145366,OFF-ST-10004180,CA-12310,Standard Class,37.208,1,0.2,-7.4416
US-2017-145366,OFF-EN-10004386,CA-12310,Standard Class,57.576,3,0.2,21.591
CA-2017-163979,OFF-ST-10003208,KH-16690,Second Class,725.84,4,0.0,210.4936
CA-2015-155334,TEC-AC-10003628,HA-14920,First Class,209.93,7,0.0,92.3692
CA-2015-155334,FUR-FU-10003274,HA-14920,First Class,5.28,3,0.0,2.3232
CA-2015-155334,OFF-BI-10002557,HA-14920,First Class,10.92,3,0.2,4.095
CA-2017-118136,OFF-PA-10002615,BB-10990,First Class,8.82,2,0.0,4.0572
CA-2017-118136,OFF-AR-10001427,BB-10990,First Class,5.98,1,0.0,1.5548
CA-2017-132976,OFF-PA-10000673,AG-10495,Standard Class,11.648,2,0.2,4.0768
CA-2017-132976,OFF-PA-10004470,AG-10495,Standard Class,18.176,4,0.2,5.9072
CA-2017-132976,OFF-ST-10000876,AG-10495,Standard Class,59.712,6,0.2,5.9712
CA-2017-132976,OFF-LA-10002043,AG-10495,Standard Class,24.84,3,0.2,8.694
US-2015-161991,OFF-BI-10004967,SC-20725,Second Class,2.08,5,0.8,-3.432
US-2015-161991,TEC-PH-10001760,SC-20725,Second Class,1114.4,7,0.2,376.11
CA-2015-130890,FUR-TA-10002903,JO-15280,Standard Class,1038.84,5,0.2,51.942
CA-2015-130883,OFF-PA-10000474,TB-21520,Standard Class,141.76,5,0.2,47.844
CA-2015-130883,TEC-AC-10001956,TB-21520,Standard Class,239.8,5,0.2,47.96
CA-2015-130883,OFF-PA-10004100,TB-21520,Standard Class,31.104,6,0.2,10.8864
CA-2016-112697,OFF-BI-10000778,AH-10195,Second Class,254.058,7,0.7,-169.372
CA-2016-112697,OFF-AP-10002684,AH-10195,Second Class,194.528,2,0.2,24.316
CA-2016-112697,OFF-SU-10000646,AH-10195,Second Class,961.48,5,0.2,-204.3145
CA-2016-110772,OFF-FA-10002983,NZ-18565,Second Class,19.096,7,0.2,6.6836
CA-2016-110772,OFF-LA-10004689,NZ-18565,Second Class,18.496,8,0.2,6.2424
CA-2016-110772,TEC-AC-10002001,NZ-18565,Second Class,255.984,2,0.2,54.3966
CA-2016-110772,FUR-BO-10004709,NZ-18565,Second Class,86.97,3,0.5,-48.7032
CA-2014-111451,FUR-FU-10004091,KL-16555,First Class,300.416,8,0.2,78.8592
CA-2014-111451,FUR-CH-10001891,KL-16555,First Class,230.352,3,0.2,20.1558
CA-2014-111451,FUR-FU-10002918,KL-16555,First Class,218.352,3,0.2,-24.5646
CA-2014-111451,OFF-BI-10004593,KL-16555,First Class,78.6,5,0.7,-62.88
CA-2014-111451,OFF-FA-10004854,KL-16555,First Class,27.552,3,0.2,9.2988
CA-2016-142545,OFF-PA-10002105,JD-15895,Standard Class,32.4,5,0.0,15.552
CA-2016-142545,OFF-ST-10002756,JD-15895,Standard Class,1082.48,8,0.0,10.8248
CA-2016-142545,OFF-PA-10004243,JD-15895,Standard Class,56.91,3,0.0,27.3168
